Comuna,Nro.Voto,Nro Región,Votos
ALGARROBO,1.0,5,1978
ALGARROBO,2.0,5,2877
ALGARROBO,3.0,5,817
ALGARROBO,4.0,5,1352
ALGARROBO,5.0,5,90
ALGARROBO,6.0,5,472
ALGARROBO,7.0,5,568
ALHUE,1.0,13,636
ALHUE,2.0,13,467
ALHUE,3.0,13,520
ALHUE,4.0,13,320
ALHUE,5.0,13,31
ALHUE,6.0,13,151
ALHUE,7.0,13,352
ALTO BIOBIO,1.0,8,377
ALTO BIOBIO,2.0,8,502
ALTO BIOBIO,3.0,8,399
ALTO BIOBIO,4.0,8,155
ALTO BIOBIO,5.0,8,40
ALTO BIOBIO,6.0,8,119
ALTO BIOBIO,7.0,8,255
ALTO DEL CARMEN,1.0,3,260
ALTO DEL CARMEN,2.0,3,265
ALTO DEL CARMEN,3.0,3,891
ALTO DEL CARMEN,4.0,3,87
ALTO DEL CARMEN,5.0,3,11
ALTO DEL CARMEN,6.0,3,56
ALTO DEL CARMEN,7.0,3,365
ALTO HOSPICIO,1.0,1,3183
ALTO HOSPICIO,2.0,1,5860
ALTO HOSPICIO,3.0,1,2212
ALTO HOSPICIO,4.0,1,1212
ALTO HOSPICIO,5.0,1,263
ALTO HOSPICIO,6.0,1,1712
ALTO HOSPICIO,7.0,1,9884
ANCUD,1.0,10,3793
ANCUD,2.0,10,4372
ANCUD,3.0,10,2350
ANCUD,4.0,10,1827
ANCUD,5.0,10,230
ANCUD,6.0,10,938
ANCUD,7.0,10,2120
ANDACOLLO,1.0,4,1181
ANDACOLLO,2.0,4,661
ANDACOLLO,3.0,4,797
ANDACOLLO,4.0,4,307
ANDACOLLO,5.0,4,64
ANDACOLLO,6.0,4,408
ANDACOLLO,7.0,4,1172
ANGOL,1.0,9,2807
ANGOL,2.0,9,9982
ANGOL,3.0,9,2197
ANGOL,4.0,9,2021
ANGOL,5.0,9,153
ANGOL,6.0,9,940
ANGOL,7.0,9,3070
ANTARTICA,1.0,12,4
ANTARTICA,2.0,12,34
ANTARTICA,3.0,12,1
ANTARTICA,4.0,12,2
ANTARTICA,5.0,12,0
ANTARTICA,6.0,12,2
ANTARTICA,7.0,12,4
ANTOFAGASTA,1.0,2,28152
ANTOFAGASTA,2.0,2,27263
ANTOFAGASTA,3.0,2,10143
ANTOFAGASTA,4.0,2,9976
ANTOFAGASTA,5.0,2,1635
ANTOFAGASTA,6.0,2,8870
ANTOFAGASTA,7.0,2,36308
ANTUCO,1.0,8,245
ANTUCO,2.0,8,547
ANTUCO,3.0,8,332
ANTUCO,4.0,8,210
ANTUCO,5.0,8,17
ANTUCO,6.0,8,91
ANTUCO,7.0,8,400
ARAUCO,1.0,8,2203
ARAUCO,2.0,8,4983
ARAUCO,3.0,8,1687
ARAUCO,4.0,8,1138
ARAUCO,5.0,8,123
ARAUCO,6.0,8,862
ARAUCO,7.0,8,3366
ARICA,1.0,15,14763
ARICA,2.0,15,24070
